Fiscal Season,SeasonDesc,Fiscal Year,Fiscal Week,Day,Dayofweek,Class,ClassDesc,Location,Locdesc,SalesU,SalesD
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,10,SUNGLASSES,2061,TIMES SQUARE,2,60
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,15,FASHION ACCESSORIES,2061,TIMES SQUARE,1,18
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,18,HATS,2061,TIMES SQUARE,1,12
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,25,FASHION JEWELRY,2061,TIMES SQUARE,-1,-35
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,26,NECKLACES,2061,TIMES SQUARE,11,231
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,27,SUNGLASSES,2061,TIMES SQUARE,3,63
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,28,LS SOLID CASUAL SHIRTS,2061,TIMES SQUARE,2,100
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,30,LS SOLID DRESS SHIRTS,2061,TIMES SQUARE,10,416
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,31,HEELS,2061,TIMES SQUARE,4,212
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,41,BOOTS,2061,TIMES SQUARE,1,60
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,42,WEDGES,2061,TIMES SQUARE,1,60
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,50,BRACELETS,2061,TIMES SQUARE,7,114
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,76,EARRINGS,2061,TIMES SQUARE,16,227
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,84,RINGS,2061,TIMES SQUARE,4,80
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,89,LARGE,2061,TIMES SQUARE,1,40
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,91,RELAXED,2061,TIMES SQUARE,1,80
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,92,FLATS,2061,TIMES SQUARE,4,136
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,99,SMALL,2061,TIMES SQUARE,1,20
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,102,BELTS,2061,TIMES SQUARE,5,160
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,103,SCARVES,2061,TIMES SQUARE,7,194
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,105,COLDWEAR,2061,TIMES SQUARE,5,91
20161,Spring 2016,2016,2/6/2016,1/31/2016,Sunday,116,FASHION ACCESSORIES,2061,TIMES SQUARE,1,60
